delivery_id,delivery_person_id,restaurant_area,customer_area,delivery_distance_km,delivery_time_min,order_placed_at,weather_condition,traffic_condition,delivery_rating
D00582,39,Westfield,Westfield,10.01,30,2026-08-09 14:42:00,Cloudy,Medium,4.6
D00583,33,Westfield,Eastgate,3.15,22,2026-06-14 00:13:00,Clear,Medium,4.1
D00584,21,Harbor View,Harbor View,5.84,33,2026-04-27 17:32:00,Rain,Medium,4.1
D00585,23,Uptown,Uptown,5.32,24,2026-04-25 02:12:00,Cloudy,Medium,4.4
D00586,22,Uptown,Harbor View,1.51,20,2026-05-06 17:35:00,Clear,Medium,5.0
D00587,11,Eastgate,Uptown,6.27,30,2026-08-03 01:22:00,Clear,Low,4.2
D00588,4,Eastgate,Eastgate,10.99,61,2026-06-29 13:05:00,Clear,High,4.3
D00589,9,Harbor View,Harbor View,7.24,36,2026-04-12 18:22:00,Clear,Low,3.6
D00590,5,Westfield,Eastgate,7.18,30,2026-03-30 13:02:00,Clear,Medium,4.3
D00591,20,Westfield,Uptown,10.88,47,2026-04-27 16:49:00,Cloudy,Medium,3.9
D00592,3,Sunset Hills,Uptown,4.07,26,2026-06-02 03:26:00,Fog,Medium,3.9
D00593,5,Eastgate,Eastgate,2.65,20,2026-05-20 10:32:00,Clear,Low,4.5
D00594,22,Sunset Hills,Sunset Hills,0.92,26,2026-06-23 11:58:00,Clear,High,5.0
D00595,36,Old Town,Old Town,9.99,39,2026-04-21 19:30:00,Cloudy,Low,4.2
D00596,5,Old Town,Westfield,2.79,22,2026-07-03 09:38:00,Cloudy,High,4.2
D00597,20,Harbor View,Harbor View,5.03,33,2026-08-10 22:11:00,Clear,Low,4.0
D00598,22,Harbor View,Riverside,10.16,51,2026-06-16 20:09:00,Cloudy,Medium,4.2
D00599,13,Eastgate,Eastgate,2.15,19,2026-03-26 11:33:00,Clear,Medium,4.8
D00600,30,Sunset Hills,Sunset Hills,4.93,20,2026-06-01 03:21:00,Clear,Low,5.0
D00601,35,Uptown,Uptown,11.79,47,2026-07-18 04:40:00,Cloudy,Medium,3.9
D00602,31,Uptown,Uptown,6.52,39,2026-03-15 09:36:00,Cloudy,Medium,4.1
D00603,16,Sunset Hills,Sunset Hills,1.47,20,2026-06-10 04:55:00,Clear,Low,4.6
D00604,22,Westfield,Westfield,11.75,58,2026-08-01 07:10:00,Rain,Low,4.1
D00605,35,Riverside,Eastgate,5.07,33,2026-06-16 04:05:00,Clear,Medium,4.3
D00606,10,Harbor View,Harbor View,10.11,53,2026-06-28 05:25:00,Fog,Low,4.4
D00607,28,Old Town,Westfield,11.64,45,2026-05-30 05:32:00,Clear,High,4.2
D00608,31,Harbor View,Harbor View,11.48,56,2026-04-23 19:08:00,Clear,High,4.1
D00609,35,Westfield,Westfield,5.99,28,2026-06-28 15:36:00,Clear,Medium,4.2
D00610,10,Harbor View,Harbor View,4.99,31,2026-04-05 00:14:00,Clear,Medium,4.7
D00611,38,Uptown,Uptown,11.24,63,2026-08-02 20:36:00,Clear,High,3.7
D00612,32,Westfield,Downtown,3.56,23,2026-05-05 10:13:00,Clear,High,4.9
D00613,39,Harbor View,Uptown,7.28,26,2026-06-07 16:22:00,Cloudy,Low,4.4
D00614,38,Uptown,Uptown,10.09,48,2026-06-24 10:50:00,Clear,Low,3.9
D00615,27,Sunset Hills,Riverside,2.4,27,2026-03-18 12:08:00,Cloudy,High,4.5
D00616,7,Uptown,Harbor View,4.03,21,2026-03-30 10:19:00,Clear,Low,4.6
D00617,37,Harbor View,Harbor View,9.86,47,2026-07-27 00:49:00,Clear,High,3.7
D00618,11,Uptown,Uptown,1.52,11,2026-05-07 20:43:00,Clear,Low,4.5
D00619,1,Old Town,Old Town,6.65,35,2026-08-01 20:47:00,Clear,Medium,4.1
D00620,22,Eastgate,Eastgate,4.64,25,2026-05-09 02:04:00,Clear,Low,4.7
